id,label_itc,taxon,device,start_datetime,end_datetime
0.08038ade.1593036000,0,background,08038ade,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.08038ade.1593640800,0,background,08038ade,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.08038ade.1594245600,0,background,08038ade,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.08038ade.1594850400,0,background,08038ade,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.0a5bb6f4.1593036000,0,background,0a5bb6f4,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.0a5bb6f4.1593640800,0,background,0a5bb6f4,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.0a5bb6f4.1594245600,0,background,0a5bb6f4,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.0a5bb6f4.1594850400,0,background,0a5bb6f4,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.15e612cd.1593036000,0,background,15e612cd,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.15e612cd.1593640800,0,background,15e612cd,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.15e612cd.1594245600,0,background,15e612cd,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.15e612cd.1594850400,0,background,15e612cd,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.1b74105a.1593036000,0,background,1b74105a,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.1b74105a.1593640800,0,background,1b74105a,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.1b74105a.1594245600,0,background,1b74105a,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.1b74105a.1594850400,0,background,1b74105a,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.398948ee.1593036000,0,background,398948ee,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.398948ee.1593640800,0,background,398948ee,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.398948ee.1594245600,0,background,398948ee,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.398948ee.1594850400,0,background,398948ee,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.5595c586.1593036000,0,background,5595c586,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.5595c586.1593640800,0,background,5595c586,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.5595c586.1594245600,0,background,5595c586,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.5595c586.1594850400,0,background,5595c586,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.5c173ff2.1593036000,0,background,5c173ff2,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.5c173ff2.1593640800,0,background,5c173ff2,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.5c173ff2.1594245600,0,background,5c173ff2,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.5c173ff2.1594850400,0,background,5c173ff2,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.d9699ed0.1593036000,0,background,d9699ed0,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.d9699ed0.1593640800,0,background,d9699ed0,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.d9699ed0.1594245600,0,background,d9699ed0,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.d9699ed0.1594850400,0,background,d9699ed0,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.f54ac578.1593036000,0,background,f54ac578,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.f54ac578.1593640800,0,background,f54ac578,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.f54ac578.1594245600,0,background,f54ac578,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.f54ac578.1594850400,0,background,f54ac578,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.f8d61a5c.1593036000,0,background,f8d61a5c,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.f8d61a5c.1593640800,0,background,f8d61a5c,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.f8d61a5c.1594245600,0,background,f8d61a5c,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.f8d61a5c.1594850400,0,background,f8d61a5c,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
1.08038ade.1593036000,1,Insecta,08038ade,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
1.08038ade.1593640800,1,Insecta,08038ade,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
1.08038ade.1594245600,1,Insecta,08038ade,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
1.08038ade.1594850400,1,Insecta,08038ade,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
1.0a5bb6f4.1593036000,1,Insecta,0a5bb6f4,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
1.0a5bb6f4.1593640800,1,Insecta,0a5bb6f4,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
1.0a5bb6f4.1594245600,1,Insecta,0a5bb6f4,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
1.0a5bb6f4.1594850400,1,Insecta,0a5bb6f4,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
1.15e612cd.1593036000,1,Insecta,15e612cd,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
1.15e612cd.1593640800,1,Insecta,15e612cd,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
1.15e612cd.1594245600,1,Insecta,15e612cd,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
1.15e612cd.1594850400,1,Insecta,15e612cd,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
1.1b74105a.1593036000,1,Insecta,1b74105a,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
1.1b74105a.1593640800,1,Insecta,1b74105a,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
1.1b74105a.1594245600,1,Insecta,1b74105a,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
1.1b74105a.1594850400,1,Insecta,1b74105a,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
1.398948ee.1593036000,1,Insecta,398948ee,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
1.398948ee.1593640800,1,Insecta,398948ee,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
1.398948ee.1594245600,1,Insecta,398948ee,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
1.398948ee.1594850400,1,Insecta,398948ee,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
1.5595c586.1593036000,1,Insecta,5595c586,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
1.5595c586.1593640800,1,Insecta,5595c586,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
1.5595c586.1594245600,1,Insecta,5595c586,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
1.5595c586.1594850400,1,Insecta,5595c586,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
1.5c173ff2.1593036000,1,Insecta,5c173ff2,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
1.5c173ff2.1593640800,1,Insecta,5c173ff2,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
1.5c173ff2.1594245600,1,Insecta,5c173ff2,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
1.5c173ff2.1594850400,1,Insecta,5c173ff2,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
1.d9699ed0.1593036000,1,Insecta,d9699ed0,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
1.d9699ed0.1593640800,1,Insecta,d9699ed0,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
1.d9699ed0.1594245600,1,Insecta,d9699ed0,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
1.d9699ed0.1594850400,1,Insecta,d9699ed0,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
1.f54ac578.1593036000,1,Insecta,f54ac578,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
1.f54ac578.1593640800,1,Insecta,f54ac578,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
1.f54ac578.1594245600,1,Insecta,f54ac578,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
1.f54ac578.1594850400,1,Insecta,f54ac578,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
1.f8d61a5c.1593036000,1,Insecta,f8d61a5c,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
1.f8d61a5c.1593640800,1,Insecta,f8d61a5c,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
1.f8d61a5c.1594245600,1,Insecta,f8d61a5c,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
1.f8d61a5c.1594850400,1,Insecta,f8d61a5c,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.08038ade.1593036000,10,Syrphidae,08038ade,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.08038ade.1593640800,10,Syrphidae,08038ade,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.08038ade.1594245600,10,Syrphidae,08038ade,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.08038ade.1594850400,10,Syrphidae,08038ade,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.0a5bb6f4.1593036000,10,Syrphidae,0a5bb6f4,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.0a5bb6f4.1593640800,10,Syrphidae,0a5bb6f4,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.0a5bb6f4.1594245600,10,Syrphidae,0a5bb6f4,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.0a5bb6f4.1594850400,10,Syrphidae,0a5bb6f4,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.15e612cd.1593036000,10,Syrphidae,15e612cd,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.15e612cd.1593640800,10,Syrphidae,15e612cd,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.15e612cd.1594245600,10,Syrphidae,15e612cd,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.15e612cd.1594850400,10,Syrphidae,15e612cd,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.1b74105a.1593036000,10,Syrphidae,1b74105a,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.1b74105a.1593640800,10,Syrphidae,1b74105a,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.1b74105a.1594245600,10,Syrphidae,1b74105a,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.1b74105a.1594850400,10,Syrphidae,1b74105a,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.398948ee.1593036000,10,Syrphidae,398948ee,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.398948ee.1593640800,10,Syrphidae,398948ee,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.398948ee.1594245600,10,Syrphidae,398948ee,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.398948ee.1594850400,10,Syrphidae,398948ee,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.5595c586.1593036000,10,Syrphidae,5595c586,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.5595c586.1593640800,10,Syrphidae,5595c586,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.5595c586.1594245600,10,Syrphidae,5595c586,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.5595c586.1594850400,10,Syrphidae,5595c586,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.5c173ff2.1593036000,10,Syrphidae,5c173ff2,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.5c173ff2.1593640800,10,Syrphidae,5c173ff2,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.5c173ff2.1594245600,10,Syrphidae,5c173ff2,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.5c173ff2.1594850400,10,Syrphidae,5c173ff2,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.d9699ed0.1593036000,10,Syrphidae,d9699ed0,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.d9699ed0.1593640800,10,Syrphidae,d9699ed0,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.d9699ed0.1594245600,10,Syrphidae,d9699ed0,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.d9699ed0.1594850400,10,Syrphidae,d9699ed0,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.f54ac578.1593036000,10,Syrphidae,f54ac578,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.f54ac578.1593640800,10,Syrphidae,f54ac578,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.f54ac578.1594245600,10,Syrphidae,f54ac578,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.f54ac578.1594850400,10,Syrphidae,f54ac578,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.f8d61a5c.1593036000,10,Syrphidae,f8d61a5c,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.f8d61a5c.1593640800,10,Syrphidae,f8d61a5c,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.f8d61a5c.1594245600,10,Syrphidae,f8d61a5c,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.f8d61a5c.1594850400,10,Syrphidae,f8d61a5c,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.08038ade.1593036000,11,A. rubi,08038ade,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.08038ade.1593640800,11,A. rubi,08038ade,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.08038ade.1594245600,11,A. rubi,08038ade,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.08038ade.1594850400,11,A. rubi,08038ade,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.0a5bb6f4.1593036000,11,A. rubi,0a5bb6f4,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.0a5bb6f4.1593640800,11,A. rubi,0a5bb6f4,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.0a5bb6f4.1594245600,11,A. rubi,0a5bb6f4,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.0a5bb6f4.1594850400,11,A. rubi,0a5bb6f4,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.15e612cd.1593036000,11,A. rubi,15e612cd,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.15e612cd.1593640800,11,A. rubi,15e612cd,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.15e612cd.1594245600,11,A. rubi,15e612cd,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.15e612cd.1594850400,11,A. rubi,15e612cd,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.1b74105a.1593036000,11,A. rubi,1b74105a,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.1b74105a.1593640800,11,A. rubi,1b74105a,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.1b74105a.1594245600,11,A. rubi,1b74105a,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.1b74105a.1594850400,11,A. rubi,1b74105a,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.398948ee.1593036000,11,A. rubi,398948ee,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.398948ee.1593640800,11,A. rubi,398948ee,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.398948ee.1594245600,11,A. rubi,398948ee,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.398948ee.1594850400,11,A. rubi,398948ee,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.5595c586.1593036000,11,A. rubi,5595c586,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.5595c586.1593640800,11,A. rubi,5595c586,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.5595c586.1594245600,11,A. rubi,5595c586,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.5595c586.1594850400,11,A. rubi,5595c586,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.5c173ff2.1593036000,11,A. rubi,5c173ff2,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.5c173ff2.1593640800,11,A. rubi,5c173ff2,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.5c173ff2.1594245600,11,A. rubi,5c173ff2,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.5c173ff2.1594850400,11,A. rubi,5c173ff2,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.d9699ed0.1593036000,11,A. rubi,d9699ed0,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.d9699ed0.1593640800,11,A. rubi,d9699ed0,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.d9699ed0.1594245600,11,A. rubi,d9699ed0,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.d9699ed0.1594850400,11,A. rubi,d9699ed0,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.f54ac578.1593036000,11,A. rubi,f54ac578,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.f54ac578.1593640800,11,A. rubi,f54ac578,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.f54ac578.1594245600,11,A. rubi,f54ac578,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.f54ac578.1594850400,11,A. rubi,f54ac578,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.f8d61a5c.1593036000,11,A. rubi,f8d61a5c,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.f8d61a5c.1593640800,11,A. rubi,f8d61a5c,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.f8d61a5c.1594245600,11,A. rubi,f8d61a5c,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.f8d61a5c.1594850400,11,A. rubi,f8d61a5c,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.08038ade.1593036000,12,P. vigintimaculata,08038ade,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.08038ade.1593640800,12,P. vigintimaculata,08038ade,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.08038ade.1594245600,12,P. vigintimaculata,08038ade,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.08038ade.1594850400,12,P. vigintimaculata,08038ade,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.0a5bb6f4.1593036000,12,P. vigintimaculata,0a5bb6f4,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.0a5bb6f4.1593640800,12,P. vigintimaculata,0a5bb6f4,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.0a5bb6f4.1594245600,12,P. vigintimaculata,0a5bb6f4,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.0a5bb6f4.1594850400,12,P. vigintimaculata,0a5bb6f4,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.15e612cd.1593036000,12,P. vigintimaculata,15e612cd,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.15e612cd.1593640800,12,P. vigintimaculata,15e612cd,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.15e612cd.1594245600,12,P. vigintimaculata,15e612cd,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.15e612cd.1594850400,12,P. vigintimaculata,15e612cd,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.1b74105a.1593036000,12,P. vigintimaculata,1b74105a,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.1b74105a.1593640800,12,P. vigintimaculata,1b74105a,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.1b74105a.1594245600,12,P. vigintimaculata,1b74105a,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.1b74105a.1594850400,12,P. vigintimaculata,1b74105a,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.398948ee.1593036000,12,P. vigintimaculata,398948ee,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.398948ee.1593640800,12,P. vigintimaculata,398948ee,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.398948ee.1594245600,12,P. vigintimaculata,398948ee,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.398948ee.1594850400,12,P. vigintimaculata,398948ee,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.5595c586.1593036000,12,P. vigintimaculata,5595c586,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.5595c586.1593640800,12,P. vigintimaculata,5595c586,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.5595c586.1594245600,12,P. vigintimaculata,5595c586,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.5595c586.1594850400,12,P. vigintimaculata,5595c586,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
